0,40,40,41,22,42,40,35,40,29,47,90,51,42,35
43,0,8,2,33,7,17,23,21,25,19,42,15,9,16
45,3,0,2,31,5,19,20,18,22,18,42,13,7,14
42,1,5,0,31,5,14,20,18,22,15,42,13,7,14
22,31,28,31,0,36,42,14,16,9,41,84,42,24,18
42,4,9,6,35,0,9,26,23,27,10,53,14,11,18
38,11,11,12,32,9,0,22,20,24,16,59,22,13,20
34,23,20,22,15,29,23,0,4,7,34,77,33,16,10
32,21,18,20,12,26,21,4,0,4,31,74,31,14,8
27,24,21,23,8,29,24,7,8,0,34,77,34,17,11
49,17,16,15,42,11,16,33,29,33,0,44,12,18,25
83,43,42,42,68,48,53,57,55,60,47,0,32,44,51
52,11,16,11,42,16,22,36,29,34,12,37,0,18,25
42,7,4,6,26,12,16,16,14,18,17,60,17,0,9
38,13,10,13,18,19,22,8,6,10,24,67,24,7,0
