0,40879,40415,41106,22682,42532,40096,35798,40310,29914,47722,90713,51334,42538,35368
43595,0,8350,2675,33918,7018,17898,23375,21383,25563,19472,42056,15992,9887,16714
45537,3066,0,2544,31325,5560,19298,20782,18790,22970,18984,42320,13528,7294,14121
42030,1515,5698,0,31266,5453,14073,20723,18731,22911,15753,42449,13657,7235,14062
22014,31620,28551,31099,0,36718,42028,14955,16208,9070,41908,84899,42082,24950,18717
42286,4567,9402,6510,35556,0,9216,26276,23020,27200,10896,53887,14454,11524,18352
38053,11934,11470,12161,32819,9995,0,22043,20273,24464,16267,59258,22708,13593,20244
34225,23447,20378,22926,15088,29457,23961,0,4432,7462,34647,77638,33909,16777,10544
32316,21119,18050,20597,12894,26217,21005,4376,0,4539,31407,74398,31581,14449,8216
27788,24079,21010,23557,8366,29177,24802,7630,8667,0,34367,77357,34541,17409,11175
49082,17076,16199,15147,42352,11825,16363,33072,29817,33997,0,44975,12299,18321,25148
83744,43188,42930,42858,68498,48054,53929,57955,55963,60143,47197,0,32648,44467,51294
52073,11517,16894,11187,42462,16383,22258,36063,29926,34106,12857,37328,0,18431,25258
42189,7347,4278,6826,26988,12445,16062,16445,14453,18633,17635,60626,17809,0,9784
38189,13922,10854,13401,18767,19021,22637,8224,6232,10412,24211,67201,24385,7253,0
