0,83632,95448,90713,89965,71046,67017,62021,60044,67176,61232,73480,81453,66011
85682,0,14164,9429,8681,19223,24450,22810,23371,19298,27114,12374,30716,24713
88739,13490,0,5185,7582,14982,34358,32719,31463,29206,25923,24211,40624,34622
83744,11150,9057,0,5242,9987,32018,28446,26469,26866,20929,21872,38285,32282
90433,8333,8281,3771,0,13565,29201,27561,28122,24049,24507,19054,35467,29465
73765,23909,19083,14650,15137,0,24215,18467,16490,19063,10950,13757,30170,24479
64437,23948,35764,31029,30281,26138,0,11524,7848,5385,14247,13796,25813,937
72700,23235,35050,30315,29567,25424,11468,0,3404,6218,8778,13083,29437,11732
59734,22613,31402,29694,27457,16888,8520,4167,0,9258,7051,12461,28816,6720
67461,20425,32241,27506,26758,22615,6228,7724,11509,0,17309,10273,18522,6492
62230,28291,27268,22836,23323,12754,14824,9845,7868,12987,0,18139,32584,15580
74306,11699,23515,18780,18032,15525,13074,11435,11995,7922,17795,0,18051,13338
82619,28582,40398,35662,34914,30698,27601,22873,28798,18576,32392,17940,0,26595
67070,24938,36754,32019,31271,27128,806,12514,8294,5123,14693,14786,26803,0
