0,65932,67645,60876,62040,77669,57124,41159,37520,38955,40693,91315,81160,99309,62407,60771
68461,0,14281,10759,13182,12694,29594,31696,33884,40457,38930,19844,15995,27824,3779,11155
67996,11625,0,6410,2871,16015,20286,30867,30514,37389,35561,29662,32219,37656,12532,4763
61576,7337,7067,0,5967,18431,22709,24811,26999,33572,32045,26414,22565,34394,8245,3099
72007,9267,2531,6257,0,16578,24297,34877,34525,41400,39572,30224,32781,38218,12383,4095
73488,18079,14152,12861,10896,0,25777,36358,36006,42881,41053,24015,26572,32009,18986,11212
47710,36316,32418,31260,32424,48927,0,10581,10228,17103,15275,62574,51544,70567,37232,31155
40397,33444,32120,28388,29552,42145,21600,0,3358,10579,9053,55791,58348,63785,26527,28283
43268,31554,30437,26498,27662,40461,19916,2475,0,8896,7369,54108,56664,62102,32318,26393
39077,37838,38932,32782,33946,48956,28411,12588,6793,0,5213,62602,65159,70596,34313,32677
41029,36044,34927,30988,32152,44952,24407,8879,4634,3298,0,58598,61155,66592,36808,30883
91783,21429,32447,28704,31127,18870,44072,54653,54301,61176,59347,0,6013,8338,21891,29560
80862,15884,26682,23160,25582,20682,41995,44096,46284,52857,51331,5617,0,13597,16346,23555
88390,23413,35906,30688,33111,22329,47531,51625,57759,64635,62806,3458,7988,0,23875,31084
62883,4053,15040,11518,13940,14197,30353,26118,31881,38455,36928,21347,17498,29327,0,11913
60230,7413,4655,3951,4196,16660,21363,23465,25652,32226,30699,26490,22641,34470,8321,0
