Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış
MERKEZ DEPO,0,0,40.84,29.44,0.00,24
Kadir Has,1,10,41.00,28.86,8,16
Novi Bazaar Mini,2,4,41.06,28.91,8,10
Vega Istanbul,3,6,41.02,28.93,7,10
Forumİstanbul,4,15,41.05,28.90,8,17
Mallofİstanbul,5,15,41.06,28.81,8,16
Kavacık,6,15,41.09,29.09,8,10
Canpark,7,7,41.02,29.11,7,17
MeydanİstanbulAVM,8,12,41.02,29.13,8,13
ÇamsanParkAVM,9,11,41.01,29.20,7,10
MetroGarden,10,7,41.02,29.18,8,11
Beylikdüzü Migros,11,9,41.01,28.66,7,10
Pelican Mall,12,11,40.99,28.71,7,16
Perlavista AVM,13,7,41.02,28.63,7,10
Carousel,14,10,40.98,28.87,7,17
Axis Bayrampaşa,15,5,41.03,28.92,8,11
