Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış
MERKEZ DEPO,0,0,40.84,29.44,0,24
Maslak,1,11,41.110306,29.02494,8,16
Kağıthane Axis,2,7,41.086424,28.982627,8,17
Trump Towers,3,7,41.067783,28.992476,7,10
Vadi İstanbul,4,11,41.10745,28.986342,8,10
Mini Novi Bazaar,5,2,41.055389,28.910564,8,10
Vega İstanbul,6,5,41.016192,28.927439,7,11
Metrocity,7,3,41.075909,29.012347,8,17
Cevahir,8,10,41.062885,28.993096,7,11
Çamlıca,9,7,41.006055,29.069174,8,17
Emaar,10,8,41.003463,29.071204,8,17
Tepe Nautilus,11,7,41.00023,29.03179,7,17
Optimum,12,8,40.988482,29.085266,8,11
Bostancı,13,4,40.96188,29.109498,8,24
Mini Altayçeşme,14,3,40.917623,29.143315,7,11
Mini Cebeci Pendik,15,2,40.87,29.24,7,22
Tuzla Port,16,10,40.817107,29.299478,8,17
