0,59656,55118,51166,57308,61414,61465,55672,51334,40879,41106,45781,40415,42538,37572,33362,22682
58900,0,9019,7539,5178,16165,17611,5342,7707,15708,15378,17671,26016,28138,34031,45888,52169
58553,7801,0,2973,3523,11673,11723,3301,3500,15426,15097,17390,25669,22340,28233,45542,46372
52653,10243,2868,0,5407,11077,11128,2880,1984,12097,11767,14060,17474,19011,24904,39642,43042
60193,5937,4467,13530,0,14986,16410,8567,13696,28187,18603,20896,27309,29431,35324,47182,53462
62455,17898,12864,11192,13636,0,5969,15946,11358,21898,21569,17245,27276,28812,34705,49444,52844
56754,19761,12375,10703,19101,6836,0,15457,10869,16149,15820,12481,18859,20396,26289,36883,44427
51590,9496,6984,2865,9263,13280,13331,0,3033,11033,10704,12997,16411,17948,23841,38579,41979
52073,9491,4242,924,9258,11194,11245,3900,0,11517,11187,13480,16894,18431,24324,39062,42462
43595,21543,19776,15824,21310,19384,19347,16950,15992,0,2675,4936,8350,9887,15780,26373,33918
42030,19208,17441,13489,18975,23737,19740,14614,13657,1515,0,5329,5698,7235,13128,23721,31266
45906,19448,17681,13729,19215,15794,15756,14855,13897,5301,4972,0,8011,9548,15441,26035,33579
45537,19079,17312,13360,18846,23608,19611,14486,13528,3066,2544,5200,0,7294,13187,23780,31325
42189,29569,21594,17642,27221,27889,23893,25585,17809,7347,6826,9482,4278,0,8850,19443,26988
39868,35801,27825,23873,33452,34121,30124,31816,24041,13579,13057,15713,10510,6909,0,12654,20446
30405,46318,38343,34391,43970,44638,40642,42334,34558,24096,23575,26231,21027,17426,13397,0,11268
22014,53842,45867,41915,51494,52162,48165,49858,42082,31620,31099,33755,28551,24950,20921,12518,0
