0,44190,25709,81477,60771,73727,90365,91315,41990,36757,42566,41316,38955,41159,62245,51682,88851,43777,64068,70479,62040,70604,65172,41620,65932,60175,65654,39932,57124,26450,46991,20010,77669,40217,40217,64518,58659,52063,40693,37378,37520,37672,46752,37378,40542,39646,81160,33362,27717,99309,57207,84303,41021,55416,145176,79582,48107,91360,51819,22523,36515,59643,60876,18939,67212
44578,0,21701,44332,22006,32277,39390,40497,7412,11080,14756,3984,20149,7812,19690,12917,39269,4408,21981,27924,23275,33433,24937,20987,27167,17199,21728,19078,19830,23385,3709,30545,35739,14723,14723,19659,17123,13298,18623,10430,13576,13732,5519,10430,5011,5859,36648,24447,27335,48477,18442,42373,13441,13880,89349,29299,3189,39517,13054,31543,23002,18107,12985,30728,30066
25552,22134,0,59422,38715,51672,68309,69260,19934,14701,20510,19261,9977,19103,40189,29626,66795,21722,42012,48424,39984,48549,43116,19564,43876,38120,43598,17877,35068,21961,24935,7800,55613,18162,18162,42463,36603,30007,14980,15323,15464,23318,24696,15323,18486,17590,59104,23024,19226,77254,35151,62247,18965,33360,109224,57526,26051,69304,29763,26463,14459,37588,38820,7512,45156
82416,44006,59539,0,28684,20976,35112,36062,51107,50819,46114,47992,51809,45286,30486,33919,33597,43440,26373,30880,22950,24989,25553,65946,30027,27067,29774,64258,34706,67080,46631,68383,21787,58418,58418,31930,30371,30603,49981,50570,44934,57426,42943,50570,49659,48762,38619,69405,76090,44056,32364,29050,57135,30820,55487,24255,47962,36107,33181,75237,60841,31355,30333,68566,18409
60230,20169,37353,28852,0,13199,25383,26490,26040,27967,26832,19684,38467,23465,8321,10083,25263,19604,8698,16479,4196,23539,7338,39615,7413,11484,7136,37706,21363,42013,22794,46197,16660,33351,33351,6000,17028,13315,30699,26082,25652,32360,19106,26082,23639,25911,22641,43074,53904,34470,8841,23295,32069,13897,70271,12976,24125,25510,9344,50171,38655,18013,3951,46380,11300
74025,32277,51148,21744,11744,0,22191,23141,42716,42428,37723,30611,43418,36895,13972,21010,20677,30531,13941,14366,11434,28622,12217,57555,13514,18676,12834,55867,26315,58689,33721,59992,5391,50027,50027,15416,21980,22213,41590,42179,36543,49036,30033,42179,41268,40371,20528,61014,67699,31135,19767,16129,48744,22429,63105,7742,27119,23397,20271,66846,52450,22965,13393,60175,7677
89923,39591,67047,34982,27701,20333,0,2710,58614,58326,53621,46568,59316,52794,21432,36966,2076,46487,29839,12613,27332,41860,28115,73453,20970,34574,24971,71765,42213,74587,49678,75891,17011,65925,65925,22873,37878,38111,57488,58078,52441,64934,45990,58078,57166,56270,5555,76912,83598,10703,35724,8493,64643,38328,40053,19403,40618,1229,36228,82745,68348,38863,29350,76073,23575
91783,40049,68906,36842,29560,22193,3595,0,46581,50249,55481,45860,61176,49641,21891,36259,4138,45780,31698,13071,31127,43719,29974,60156,21429,36434,25430,58247,44072,62554,43422,77750,18870,53892,53892,23331,39737,39970,59347,52258,54301,52901,42142,52258,44180,45028,6013,63615,85457,8338,35017,10353,52610,40073,37687,19862,41077,4408,35521,70712,70207,40722,28704,77933,25435
42594,11006,16258,54344,30200,46594,48761,49868,0,6476,15432,10787,20826,14132,29061,21111,61717,9790,36934,37295,31469,43471,38038,13575,35361,33042,31100,11665,29990,15973,13807,28561,50535,7311,7311,29031,31525,21492,19299,10801,14252,6320,14890,10801,7358,8169,46019,17034,19923,57848,26636,57170,6028,28282,104146,38670,14923,48888,21248,24131,12101,32510,22357,28744,40078
36241,9890,13364,50231,29631,42481,59118,60069,4935,0,11319,10177,8166,10020,27945,20542,57604,8674,32821,36180,30900,39358,33925,19770,34792,28929,34514,18082,25877,22401,12691,22208,46422,11482,11482,33379,27412,24240,6986,2281,10140,10490,13774,2281,5351,4799,62626,23230,29915,68063,26067,53057,10199,24169,100033,48335,13807,60113,20679,30558,14665,28397,29736,22391,35965
44256,15212,21379,45257,27380,37507,54145,55095,12947,12658,0,9511,10169,5376,33305,18291,52630,10842,27847,49986,28649,34384,28951,27785,32541,23955,32263,26098,20904,28920,17836,30223,41449,20258,20258,31127,22438,19266,8642,6564,1919,19266,13259,6564,11499,10602,57652,31245,37930,63089,23816,48083,18975,19196,95059,43361,19167,55140,18428,37077,22680,23423,27485,30406,30992
