Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış
MERKEZ DEPO,0,0,40.84,29.44,0,24
Forum Üstanbul,1,15,41.047276,28.897083,8,17
Vialand,2,10,41.0759,28.923,8,17
Meydan Üstanbul,3,11,41.024651,29.126737,8,13
Atlaspark,4,7,40.969773,29.255614,7,17
Lamsan Park,5,14,41.007764,29.197967,7,10
Cevahir,6,6,41.062885,28.993096,7,11
Vadi Üstanbul,7,12,41.10745,28.986342,8,10
Kale Center,8,10,41.015764,28.87808,7,17
Kadir Has,9,9,40.996007,28.864311,8,16
Viaport,10,11,40.936817,29.325368,7,11
Lens,11,4,40.92805,29.31364,8,9
Maslak,12,7,41.110306,29.02494,8,16
KaÛÝthane Axis,13,8,41.086424,28.982627,8,17
Bayrampaßa Axis,14,8,41.034726,28.921359,8,11
GšktŸrk,15,10,41.181433,28.882506,8,17
Ritim Üstanbul,16,8,40.922154,29.155483,8,17
