0,62339,66329,41140,25616,37686,51652,58250,65514,66310,18617,19521,59974,55436,60362,71103,37518
72818,0,11732,34654,49414,42564,12376,17390,7075,10986,58212,57861,21653,18325,3404,25953,47560
66659,11985,0,28495,43255,36405,10557,11231,15113,15908,52053,51702,15494,8586,8294,17680,41401
41093,34627,29430,0,17688,10065,17582,21351,31444,32240,26486,26135,23075,24568,26292,34204,15835
24728,39024,43014,17825,0,14371,28337,34935,42199,42995,10122,9771,36659,32121,37047,47788,18263
39938,43382,38185,13087,7637,0,23648,30106,37510,38306,25331,24980,31830,33323,32358,42959,17115
52191,11802,11601,16931,28786,23497,0,9883,14977,15772,37584,37233,9491,4899,9824,22159,24052
60311,17912,12715,22147,36906,30056,13696,0,20142,20938,45704,45353,5937,4467,14990,17466,35053
66390,6177,16142,31130,42985,46974,15175,21801,0,3696,51783,51432,26063,16681,5885,30364,33789
66546,11130,16865,31286,43141,37852,15332,21385,3148,0,51939,51588,24224,16837,9153,29918,34855
19909,48971,52961,27772,12249,24318,38284,44883,52146,52942,0,2891,46606,42068,46994,57735,26932
19934,48996,52986,27797,12274,24343,38309,44907,52171,52967,2112,0,46631,42093,47019,57760,24862
59017,19091,13894,20853,35613,28763,7707,5803,21342,22138,44411,44060,0,9019,16190,18667,33759
58671,12280,9177,20507,35267,28417,3500,4113,15455,16251,44065,43714,7801,0,10303,16900,27962
59852,4167,6720,24592,36447,31158,8638,14691,7471,8267,45245,44895,17530,10143,0,23224,31713
73393,25100,17653,35229,49988,43138,23829,16090,30569,31070,58786,58436,22227,17025,25122,0,48135
39339,34082,41509,16320,16920,19198,23394,33431,33273,34440,25325,24620,35154,27179,32104,46283,0
