Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış
MERKEZ DEPO,0,0,40.84,29.44,0.00,24
Bostancı,1,18,40.96,29.11,8.00,24
PelicanMall,2,9,40.99,28.71,7.00,16
Florya,3,8,40.98,28.78,8.00,11
MARMARA FORUM,4,10,40.99,28.88,7.00,17
Beylikdüzü,5,10,41.01,28.68,8.00,16
Viaport Venezia,6,8,41.08,28.88,8.00,10
Kızıltoprak,7,10,40.98,29.04,8.00,17
Kartal,8,8,40.90,29.22,8.00,10
Kaynarca,9,15,40.88,29.26,8.00,17
Pendorya,10,7,40.87,29.28,7.00,15
Silivri Vega,11,10,41.08,28.25,7.00,16
Cevahir AVM,12,10,41.06,28.99,7.00,11
