0,41990,81160,70641,61258,90365,67212,46938,39932,26450,27717,145176,51682
42594,0,46019,37295,27912,48761,40078,13807,11665,15973,19923,104146,21111
80862,41037,0,7526,18950,5317,26196,43426,52702,57010,74536,42947,30717
70311,33406,9333,0,12958,12075,20204,30247,45072,49379,53329,50511,24725
61396,24491,18460,12806,0,21202,16030,21332,36156,40464,44413,76996,16057
89923,58614,5555,12613,24036,0,23575,49678,70280,74587,83598,40053,36969
67496,36187,30701,23035,18248,27193,0,31711,47853,52160,61171,68108,19002
46532,9885,37794,29070,19687,40537,32021,0,21550,25858,29807,91304,14871
32344,16213,56865,48141,38758,59607,50924,24653,0,4316,8266,114992,31957
30273,18037,58690,49966,40582,61432,52749,26477,7181,0,2492,116816,33781
25705,20189,60841,52117,42734,63583,54900,28629,9332,3301,0,118967,35932
145456,100684,43284,50351,74329,40874,65645,91747,112349,116657,139130,0,79039
52541,18351,30952,24790,15472,33694,18624,15105,30017,34324,46215,77907,0
